"Analysis","P_Value","N_Donors"
"WP",0.0103092783505155,97
"WP_Germans",0.0563380281690141,142
"WP_Germans_Brainstorming",0.0551724137931034,145
"WP_Germans_Brainstorming_Pericles",0.0547945205479452,146
"JPE",0.0461538461538462,195
"Germans_only",0.109090909090909,55
"Germans_only_Freud_Weber",0.087719298245614,57
"JPE_German_language",0.0180995475113122,221
"Germans_only_German_language",0.0465116279069767,86
