"Name","RMSPE_ratio"
"Karl Marx",5.56570179886425
"August Bebel",2.66931609109018
"Barthold Georg Niebuhr",0.603509531297592
"Carl Stumpf",1.72237667207342
"Clausewitz",1.49984424588988
"Dilthey",3.55501440636075
"E T A Hoffmann",1.77153785102259
"Ebbinghaus",1.38036170278667
"Eduard Bernstein",1.87323643073768
"Eduard von Hartmann",1.10773381907893
"Eduard Zeller",0.858573752864922
"Ferdinand Lassalle",1.04820044184596
"Ferdinand Tönnies",2.0778962165814
"Fichte",0.593715605589174
"Franz Brentano",1.2964161645554
"Frege",1.00701444242252
"Friedrich Carl von Savigny",0.782948845828622
"Friedrich Heinrich Jacobi",6.55676835662779
"Friedrich List",1.04805240599121
"Friedrich Schiller",0.437191103453338
"Goethe",0.665674784831877
"Gotthold Ephraim Lessing",1.60766801455102
"Grimmelshausen",7.3976840556482
"Gustav Freytag",0.676094856048828
"Hamann",2.34196001655894
"Helmholtz",0.85482100930898
"Herbart",0.663816617826615
"Herder",0.824666067431253
"Hermann Cohen",9.65914658273772
"Hermann Lotze",0.562768467746544
"Hölderlin",5.28877009190218
"Immanuel Kant",1.47727362262365
"Kafka",0.210741614729948
"Külpe",1.45234559674808
"Ludwig Büchner",3.47188652002063
"Ludwig Feuerbach",1.4468372355393
"Martin Luther",0.985033439133418
"Max Stirner",1.32254047330759
"Moses Hess",1.73831514445871
"Nietzsche",1.17421499634265
"Ranke",0.62511079006625
"Rilke",15.6353572275201
"Rodbertus",0.585269269188704
"Schäffle",1.00272805447535
"Scheler",2.46396290555551
"Schleiermacher",1.18021866276937
"Schmoller",1.17226421364553
"Schopenhauer",0.490392380039535
"Simmel",5.57532034313773
"Sombart",4.85987442784639
"Theodor Fontane",5.34986632263187
"Thomas Mann",10.1182242998154
"Thünen",0.374852021464925
"Wilhelm von Humboldt",0.981576292523123
"Windelband",1.12186052734331
"Wundt",0.751126418329585
